English,Portuguese
you,você
to,para
the,o
and,e
that,que
it,isto
of,de
me,meu
what,o que
is,é
in,em
this,esse
know,saber
I'm,Eu sou
for,para
no,não
have,ter
my,meu
don't,não
just,apenas
not,não
do,fazer
be,ser
on,sobre
your,seu
was,era
we,nós
it's,isso é
with,com
so,então
but,mas
all,todos
well,bem
are,são
he,ele
oh,oh
about,sobre
right,certo
you're,você é
get,pegar
here,aqui
out,fora
going,indo
like,como
yeah,sim
if,se
her,dela
she,ela
can,pode
up,acima
want,querer
think,pensar
that's,isso é
now,agora
go,ir
him,ele
at,no
how,como
got,pegou
there,lá
one,um
did,fez
why,por que
see,ver
come,vir
good,bom
they,eles
really,realmente
as,como
would,seria
look,olhar
when,quando
time,tempo
will,vai
okay,OK
back,voltar
can't,não pode
mean,significar
tell,dizer
I'll,Doente
from,de
hey,ei
were,eram
he's,ele é
could,poderia
didn't,não
yes,sim
his,dele
been,estive
or,ou
something,algo
who,Quem
because,porque
some,alguns
had,tive
then,então
say,dizer
ok,OK
take,pegar
an,um
way,caminho
us,nós
little,pequeno
make,fazer
need,precisar
gonna,vai
never,nunca
we're,eram
too,também
love,amor
she's,ela é
I've,Eu tenho
sure,claro
them,eles
more,mais
over,sobre
our,nosso
sorry,desculpe
where,onde
what's,o que é
let,deixar
thing,coisa
am,sou
maybe,talvez
down,abaixo
man,homem
has,tem
very,muito
by,por
there's,há
should,deve
anything,qualquer coisa
said,disse
much,muito
any,qualquer
life,vida
even,até
off,desligado
please,por favor
doing,fazendo
thank,agradecer
give,dar
only,apenas
thought,pensamento
help,ajuda
two,dois
talk,falar
people,pessoas
god,Deus
still,ainda
wait,espere
into,em
find,encontrar
nothing,nada
again,de novo
things,coisas
let's,Vamos
doesn't,não
call,chamar
told,contado
great,ótimo
before,antes
better,melhorar
ever,sempre
night,noite
than,que
away,ausente
first,primeiro
believe,acreditar
other,outro
feel,sentir
everything,tudo
work,trabalhar
you've,você
fine,multar
home,lar
after,depois
last,durar
these,esses
day,dia
keep,manter
does,faz
put,colocar
around,em volta
stop,parar
they're,eles estão
I'd,Eu ia
guy,cara
long,longo
isn't,não é
always,sempre
listen,ouvir
wanted,desejado
Mr.,Senhor.
guys,pessoal
huh,huh
those,aqueles
big,grande
lot,muito
happened,ocorrido
thanks,obrigado
won't,não vai
trying,tentando
kind,tipo
wrong,errado
through,através
talking,conversando
made,feito
new,novo
being,ser
guess,adivinhar
hi,oi
care,Cuidado
bad,ruim
mom,mãe
remember,lembrar
getting,recebendo
we'll,bem
together,junto
dad,pai
leave,deixar
mother,mãe
place,lugar
understand,entender
wouldn't,não
actually,na verdade
hear,ouvir
baby,bebê
nice,legal
father,pai
else,outro
stay,ficar
done,feito
wasn't,Não foi
their,deles
course,curso
might,poder
mind,mente
every,todo
enough,suficiente
try,tentar
hell,inferno
came,veio
someone,alguém
you'll,você vai
own,ter
family,família
whole,todo
another,outro
house,casa
Jack,Jack
yourself,você mesmo
idea,ideia
ask,perguntar
best,melhor
must,deve
coming,chegando
old,velho
looking,olhando
woman,mulher
hello,olá
which,qual
years,anos
room,sala
money,dinheiro
left,esquerda
knew,sabia
tonight,essa noite
real,real
son,filho
hope,ter esperança
name,nome
same,mesmo
went,foi
um,hum
hmm,hum
happy,feliz
pretty,bonito
saw,serra
girl,garota
sir,senhor
show,mostrar
friend,amigo
already,já
saying,ditado
may or May,poder ou poder
next,próximo
three,três
job,trabalho
problem,problema
minute,minuto
found,encontrado
world,mundo
thinking,pensamento
haven't,não
heard,ouviu
honey,mel
matter,matéria
myself,eu mesmo
couldn't,não poderia
exactly,exatamente
having,tendo
ah,Ah
probably,provavelmente
happen,acontecer
we've,nós temos
hurt,ferir
boy,garoto
both,ambos
while,enquanto
dead,morto
alone,sozinho
since,desde
excuse,desculpa
start,começar
kill,matar
hard,duro
you'd,você
today,hoje
car,carro
ready,preparar
until,até
without,sem
whatever,qualquer que seja
wants,quer
hold,segurar
wanna,quero
yet,ainda
seen,visto
deal,negócio
took,pegou
once,uma vez
gone,perdido
called,chamado
morning,manhã
supposed,suposto
friends,amigos
head,cabeça
stuff,coisa
most,maioria
used,usado
worry,preocupar
second,segundo
part,papel
live,ao vivo
truth,verdade
school,escola
face,face
forget,esquecer
TRUE,verdadeiro
business,negócios
each,cada
cause,causa
soon,breve
knows,sabe
few,alguns
telling,dizendo
wife,esposa
who's,quem é
use,usar
chance,chance
run,correr
move,mover
anyone,qualquer um
person,pessoa
bye,tchau
somebody,alguém
heart,coração
such,tal
miss,perder
married,casado
point,apontar
later,mais tarde
making,fazendo
meet,encontrar
anyway,de qualquer forma
many,muitos
phone,telefone
reason,razão
damn,droga
lost,perdido
looks,visual
bring,trazer
case,caso
turn,vez
wish,desejar
tomorrow,amanhã
kids,crianças
trust,confiar
check,verificar
change,mudar
end,fim
late,tarde
anymore,não mais
five,cinco
least,ao menos
town,cidade
aren't,não são
ha,ha
working,trabalhando
year,ano
makes,faz
taking,tirando
means,significa
brother,irmão
play,jogar
hate,odiar
ago,atrás
says,diz
beautiful,lindo
gave,deu
fact,facto
crazy,louco
party,festa
sit,sentar
open,abrir
afraid,com medo
between,entre
important,importante
rest,descansar
fun,diversão
kid,criança
word,palavra
watch,assistir
glad,alegre
everyone,todos
days,dias
sister,irmã
minutes,minutos
everybody,todo mundo
bit,pedaço
couple,casal
whoa,Uau
either,qualquer
Mrs .,Sra .
feeling,sentimento
daughter,filha
wow,uau
gets,recebe
asked,perguntado
under,sob
break,quebrar
promise,promessa
door,porta
set,definir
close,fechar
hand,mão
easy,fácil
question,pergunta
doctor,doutor
tried,testado
far,distante
walk,andar
needs,precisa
trouble,dificuldade
mine,meu
though,no entanto
times,vezes
different,diferente
killed,morto
hospital,hospital
anybody,qualquer pessoa
Sam or SAM,Sam ou Sam
alright,tudo bem
wedding,casamento
shut,fechar
able,capaz
die,morrer
perfect,perfeito
police,polícia
stand,ficar
comes,vem
hit,bater
story,história
ya,ya
mm,milímetros
waiting,esperando
dinner,jantar
against,contra
funny,engraçado
husband,marido
almost,quase
stupid,estúpido
pay,pagar
answer,responder
four,quatro
office,escritório
cool,legal
eyes,olhos
news,notícias
child,criança
shouldn't,não deveria
half,metade
side,lado
yours,seu
moment,momento
sleep,dormir
read,ler
where's,Onde está a
started,iniciado
young,jovem
men,homens
sounds,sons
lucky,sortudo
pick,escolha
sometimes,às vezes
em,Em
bed,cama
also,também
date,data
line,linha
plan,plano
hours,horas
lose,perder
fire,fogo
free,livre
hands,mãos
serious,sério
Leo,Leo
shit,merda
behind,atrás
inside,dentro
high,alto
ahead,à frente
week,semana
wonderful,maravilhoso
fight,lutar
past,passado
cut,corte
quite,bastante
number,número
hell,inferno
sick,doente
it'll,vai
game,jogo
eat,comer
nobody,ninguém
goes,vai
death,morte
along,junto
save,salvar
seems,parece
finally,finalmente
lives,vidas
worried,preocupado
Theresa,Há um
Carly,Carly
Ethan,Ethan
met,conheceu
book,livro
brought,trouxe
seem,parecer
sort,organizar
safe,seguro
living,vivendo
children,crianças
weren't,Não estava
leaving,saindo
front,frente
shot,tomada
loved,amado
asking,Perguntando
running,correndo
clear,claro
figure,figura
hot,quente
felt,sentido
six,seis
parents,pais
drink,bebida
absolutely,absolutamente
how's,como
daddy,papai
sweet,doce
alive,vivo
Paul,Paulo
sense,senso
meant,significou
happens,acontece
David,David
special,especial
bet,aposta
blood,sangue
ain't,não
kidding,brincando
lie,mentira
full,completo
meeting,reunião
dear,querido
coffee,café
seeing,vendo
sound,som
fault,falta
water,água
fuck,Porra
ten,dez
women,mulheres
John or john,John ou John
welcome,Bem-vindo
buy,comprar
months,meses
hour,hora
speak,falar
lady,senhora
thinks,acha
Christmas,Natal
body,corpo
order,ordem
outside,fora
hang,pendurar
possible,possível
worse,pior
company,empresa
mistake,erro
handle,lidar
spend,gastar
totally,totalmente
giving,dando
control,ao controle
here's,Aqui está
marriage,casado
realize,entender
power,poder
president,Presidente
unless,a menos que
sex,sexo
girls,garotas
send,enviar
needed,necessário
taken,levado
died,morreu
scared,assustado
picture,foto
talked,falou
ass,bunda
hundred,centenas
changed,mudado
completely,completamente
explain,explicar
playing,jogando
certainly,certamente
sign,sinal
boys,Rapazes
relationship,relação
loves,O amor é
fucking,Porra
hair,cabelo
lying,mentindo
choice,escolha
anywhere,em qualquer lugar
secret,segredo
future,futuro
weird,esquisito
luck,sorte
she'll,concha
turned,virado
known,conhecido
touch,tocar
kiss,beijo
Crane or crane,Guindaste ou guindaste
questions,questões
obviously,obviamente
wonder,maravilha
pain,dor
calling,chamando
somewhere,em algum lugar
throw,lançar
straight,direto
Grace,Graça
cold,frio
white,branco
fast,rápido
Natalie,Natalie
words,palavras
food,comida
none,nenhum
drive,dirigir
feelings,sentimentos
they'll,Eles vão
worked,trabalhado
light,luz
test,teste
drop,derrubar
cannot,não pode
Frank,Frank
sent,enviado
city,cidade
dream,sonhar
protect,proteger
twenty,vinte
class,aula
Lucy,Lucy
surprise,surpresa
its,isso é
sweetheart,querido
forever,para sempre
poor,pobre
looked,visto
mad,louco
except,exceto
gun,pistola
y'know,você sabe
dance,dança
takes,leva
appreciate,apreciar
especially,especialmente
situation,situação
besides,além do mais
weeks,semanas
pull,puxar
himself,ele mesmo
hasn't,não
act,agir
worth,valor
Sheridan,Sheridan
amazing,incrível
top,principal
given,dado
expect,esperar
rather,em vez de
involved,envolvido
swear,jurar
piece,pedaço
busy,ocupado
law,lei
decided,decidido
black,preto
Joey,Joey
happening,acontecendo
movie,filme
we'd,qua
catch,pegar
country,país
less,menos
perhaps,talvez
step,etapa
fall,cair
watching,assistindo
kept,mantido
darling,querido
dog,cachorro
win,ganhar
air,ar
honor,honra
personal,pessoal
moving,movendo
till,até
admit,Admitem
problems,problemas
murder,assassinato
strong,forte
he'd,ele
evil,mal
definitely,definitivamente
feels,sentimentos
information,Informação
honest,honesto
eye,olho
broke,quebrado
missed,perdido
longer,mais longo
dollars,dólares
tired,cansado
Jason,Jason
George,George
evening,noite
human,humano
starting,iniciando
red,vermelho
entire,inteiro
trip,viagem
Brooke,Brooke
club,clube
Niles,Niles
suppose,suponha
calm,calma
imagine,Imagine
fair,justo
caught,capturado
blame,culpa
street,rua
sitting,sentado
favor,Favor
apartment,apartamento
court,tribunal
terrible,Terrível
clean,limpar
learn,aprender
Alison,Alison
works,funciona
Rose or rose,Rosa ou rosa
Frasier,Frasier
relax,relaxar
York,Iorque
million,milhão
charity,caridade
accident,acidente
wake,acordar
prove,provar
smart,inteligente
message,mensagem
missing,ausente
forgot,esquecido
small,pequeno
interested,interessado
table,mesa
nbsp,nbsp
become,tornar-se
mouth,boca
pregnant,grávida
middle,meio
ring,anel
careful,cuidadoso
shall,podemos
dude,cara
team,equipe
ride,andar de
figured,figurado
wear,vestir
shoot,atirar
stick,grudar
follow,seguir
Bo,Bo
angry,nervoso
instead,em vez de
buddy,companheiro
write,escrever
stopped,parou
early,cedo
Angel,Anjo
Nick or nick,Nick ou Nick
ran,corrido
war,guerra
standing,de pé
forgive,perdoar
jail,cadeia
wearing,vestindo
Miguel,Miguel
ladies,senhoras
kinda,tipo
lunch,almoço
Cristian,Cristian
eight,oito
Greenlee,Greenlee
gotten,pego
hoping,na esperança
Phoebe,Febe
thousand,mil
ridge,cume
music,música
Luke,Lucas
paper,papel
tough,difícil
tape,fita
Emily,Emily
state,estado
count,contar
college,faculdade
boyfriend,namorado
proud,orgulhoso
agree,concordar
birthday,aniversário
bill,conta
seven,Sete
they've,Eles têm
Timmy,Timmy
history,história
share,compartilhar
offer,oferecer
hurry,pressa
ow,ow
feet,pés
wondering,imaginando
simple,simples
decision,decisão
building,prédio
ones,uns
finish,terminar
voice,voz
herself,ela mesma
would've,teria
list,lista
mess,bagunça
deserve,merecer
evidence,evidência
cute,bonitinho
dress,vestir
interesting,interessante
Jesus,Jesus
James,James
hotel,hotel
enjoy,aproveitar
Ryan,Ryan
Lindsay,Lindsay
quiet,quieto
concerned,preocupado
road,estrada
Eve or eve,Eva ou Eva
staying,ficando
short,curto
beat,bater
sweetie,docinho
mention,menção
clothes,roupas
finished,finalizado
fell,caiu
neither,nenhum
fix,consertar
Victor or victor,Victor ou Victor
respect,respeito
spent,gasto
prison,prisão
attention,atenção
holding,contenção
calls,chamadas
near,aproximar
surprised,surpreso
bar,bar
Beth,Beth
pass,passar
keeping,guardando
gift,presente
hadn't,não tinha
putting,colocando
dark,escuro
self,auto
owe,dever
using,usando
Nora,Nora
ice,gelo
helping,ajudando
bitch,cadela
normal,normal
aunt,tia
lawyer,advogado
apart,separado
certain,certo
plans,planos
girlfriend,namorada
floor,chão
whether,se
everything 's,tudo
present,presente
earth,terra
private,privado
box,caixa
cover,cobrir
judge,juiz
upstairs,lá em cima
sake,interesse
mommy,Mamãe
possibly,possivelmente
worst,pior
